D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.589e-06, 8.016e-12, 8.097e-12, 31.80
2, myDE, sphere, 4.752e-06, 7.204e-12, 7.277e-12, 22.02
2, myFA, sphere, 4.734e-06, 7.749e-12, 7.828e-12, 247.74
2, myPSO, rastrigin, 5.241e-06, 8.438e-12, 8.523e-12, 70.01
2, myDE, rastrigin, 9.954e-03, 9.800e-03, 9.899e-03, 67.57
2, myFA, rastrigin, 1.083e-01, 3.467e-02, 3.502e-02, 817.29
5, myPSO, sphere, 6.704e-06, 5.081e-12, 5.132e-12, 70.63
5, myDE, sphere, 7.051e-06, 3.678e-12, 3.715e-12, 66.69
5, myFA, sphere, 6.932e-06, 4.949e-12, 4.999e-12, 560.77
5, myPSO, rastrigin, 1.005e+00, 1.198e+00, 1.210e+00, 686.71
5, myDE, rastrigin, 1.095e-01, 1.365e-01, 1.379e-01, 399.63
5, myFA, rastrigin, 4.736e+00, 6.667e+00, 6.734e+00, 1000.00
20, myPSO, sphere, 8.937e-06, 6.449e-13, 6.514e-13, 239.06
20, myDE, sphere, 1.138e-04, 4.653e-07, 4.700e-07, 374.48
20, myFA, sphere, 8.861e-06, 7.587e-13, 7.664e-13, 788.28
20, myPSO, rastrigin, 3.332e+01, 1.345e+02, 1.358e+02, 1000.00
20, myDE, rastrigin, 2.814e+01, 3.823e+02, 3.861e+02, 1000.00
20, myFA, rastrigin, 3.940e+01, 1.422e+02, 1.436e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.129e-06, 7.707e-12, 7.785e-12, 31.11
2, myDE, sphere, 4.473e-06, 8.480e-12, 8.566e-12, 22.19
2, myFA, sphere, 4.539e-06, 8.319e-12, 8.403e-12, 247.20
2, myPSO, rastrigin, 4.846e-06, 8.749e-12, 8.837e-12, 73.08
2, myDE, rastrigin, 4.693e-06, 7.493e-12, 7.569e-12, 57.31
2, myFA, rastrigin, 1.381e-01, 5.876e-02, 5.936e-02, 820.68
5, myPSO, sphere, 7.037e-06, 4.034e-12, 4.075e-12, 70.88
5, myDE, sphere, 6.965e-06, 4.269e-12, 4.312e-12, 67.10
5, myFA, sphere, 7.002e-06, 4.795e-12, 4.844e-12, 558.16
5, myPSO, rastrigin, 7.064e-01, 5.998e-01, 6.059e-01, 665.09
5, myDE, rastrigin, 1.035e-01, 1.295e-01, 1.308e-01, 410.70
5, myFA, rastrigin, 4.708e+00, 5.818e+00, 5.877e+00, 1000.00
20, myPSO, sphere, 8.981e-06, 8.612e-13, 8.699e-13, 244.48
20, myDE, sphere, 2.923e-03, 4.469e-04, 4.515e-04, 404.08
20, myFA, sphere, 8.881e-06, 8.419e-13, 8.504e-13, 786.38
20, myPSO, rastrigin, 3.034e+01, 8.990e+01, 9.080e+01, 1000.00
20, myDE, rastrigin, 2.798e+01, 4.229e+02, 4.272e+02, 1000.00
20, myFA, rastrigin, 3.775e+01, 1.199e+02, 1.211e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.997e-06, 8.267e-12, 8.350e-12, 31.39
2, myDE, sphere, 4.011e-06, 8.737e-12, 8.826e-12, 22.63
2, myFA, sphere, 4.796e-06, 8.783e-12, 8.871e-12, 238.03
2, myPSO, rastrigin, 5.255e-06, 9.377e-12, 9.471e-12, 70.36
2, myDE, rastrigin, 4.687e-06, 7.866e-12, 7.945e-12, 58.24
2, myFA, rastrigin, 1.386e-01, 5.070e-02, 5.121e-02, 818.02
5, myPSO, sphere, 6.910e-06, 4.608e-12, 4.654e-12, 71.20
5, myDE, sphere, 6.501e-06, 5.226e-12, 5.279e-12, 67.17
5, myFA, sphere, 7.054e-06, 4.847e-12, 4.896e-12, 557.66
5, myPSO, rastrigin, 8.958e-01, 8.211e-01, 8.294e-01, 743.03
5, myDE, rastrigin, 4.108e-02, 3.799e-02, 3.838e-02, 370.40
5, myFA, rastrigin, 4.519e+00, 4.971e+00, 5.021e+00, 1000.00
20, myPSO, sphere, 8.988e-06, 7.977e-13, 8.057e-13, 236.27
20, myDE, sphere, 1.741e-04, 5.120e-07, 5.172e-07, 388.17
20, myFA, sphere, 9.054e-06, 5.809e-13, 5.868e-13, 787.93
20, myPSO, rastrigin, 3.084e+01, 8.834e+01, 8.923e+01, 1000.00
20, myDE, rastrigin, 2.800e+01, 3.339e+02, 3.372e+02, 1000.00
20, myFA, rastrigin, 3.951e+01, 1.500e+02, 1.515e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.848e-06, 9.821e-12, 9.920e-12, 31.43
2, myDE, sphere, 4.579e-06, 7.320e-12, 7.394e-12, 22.10
2, myFA, sphere, 4.941e-06, 7.766e-12, 7.844e-12, 240.34
2, myPSO, rastrigin, 1.990e-02, 1.940e-02, 1.960e-02, 89.56
2, myDE, rastrigin, 4.335e-06, 8.767e-12, 8.856e-12, 57.71
2, myFA, rastrigin, 1.516e-01, 5.715e-02, 5.773e-02, 826.86
5, myPSO, sphere, 7.101e-06, 4.692e-12, 4.739e-12, 69.76
5, myDE, sphere, 6.790e-06, 5.688e-12, 5.745e-12, 67.20
5, myFA, sphere, 7.116e-06, 3.751e-12, 3.789e-12, 555.90
5, myPSO, rastrigin, 9.950e-01, 1.089e+00, 1.100e+00, 746.19
5, myDE, rastrigin, 1.596e-01, 1.923e-01, 1.943e-01, 444.41
5, myFA, rastrigin, 4.664e+00, 6.831e+00, 6.900e+00, 997.98
20, myPSO, sphere, 9.136e-06, 6.026e-13, 6.087e-13, 240.42
20, myDE, sphere, 2.127e-03, 1.657e-04, 1.673e-04, 387.76
20, myFA, sphere, 8.931e-06, 1.072e-12, 1.083e-12, 783.29
20, myPSO, rastrigin, 3.153e+01, 1.289e+02, 1.302e+02, 1000.00
20, myDE, rastrigin, 2.768e+01, 2.840e+02, 2.869e+02, 1000.00
20, myFA, rastrigin, 3.964e+01, 1.402e+02, 1.416e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.790e-06, 7.923e-12, 8.003e-12, 31.60
2, myDE, sphere, 4.516e-06, 7.863e-12, 7.943e-12, 22.07
2, myFA, sphere, 5.574e-06, 8.647e-12, 8.735e-12, 248.13
2, myPSO, rastrigin, 4.674e-06, 7.694e-12, 7.772e-12, 71.94
2, myDE, rastrigin, 4.673e-06, 7.606e-12, 7.683e-12, 57.76
2, myFA, rastrigin, 1.120e-01, 4.498e-02, 4.544e-02, 807.09
5, myPSO, sphere, 7.294e-06, 4.361e-12, 4.405e-12, 71.44
5, myDE, sphere, 7.125e-06, 4.078e-12, 4.119e-12, 67.84
5, myFA, sphere, 6.877e-06, 5.683e-12, 5.740e-12, 561.69
5, myPSO, rastrigin, 8.955e-01, 7.821e-01, 7.899e-01, 717.22
5, myDE, rastrigin, 1.493e-01, 1.461e-01, 1.475e-01, 440.78
5, myFA, rastrigin, 4.548e+00, 6.767e+00, 6.836e+00, 996.77
20, myPSO, sphere, 9.162e-06, 5.498e-13, 5.554e-13, 238.37
20, myDE, sphere, 9.701e-06, 1.498e-11, 1.513e-11, 335.92
20, myFA, sphere, 8.866e-06, 1.154e-12, 1.166e-12, 787.52
20, myPSO, rastrigin, 3.312e+01, 1.160e+02, 1.172e+02, 1000.00
20, myDE, rastrigin, 3.031e+01, 5.119e+02, 5.171e+02, 1000.00
20, myFA, rastrigin, 3.725e+01, 1.025e+02, 1.035e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.984e-06, 8.319e-12, 8.403e-12, 32.60
2, myDE, sphere, 4.525e-06, 8.610e-12, 8.697e-12, 22.23
2, myFA, sphere, 4.822e-06, 8.438e-12, 8.523e-12, 243.78
2, myPSO, rastrigin, 9.955e-03, 9.800e-03, 9.899e-03, 79.11
2, myDE, rastrigin, 4.361e-06, 7.028e-12, 7.099e-12, 58.26
2, myFA, rastrigin, 1.214e-01, 4.929e-02, 4.979e-02, 808.53
5, myPSO, sphere, 6.781e-06, 5.058e-12, 5.109e-12, 71.47
5, myDE, sphere, 6.932e-06, 5.161e-12, 5.213e-12, 68.10
5, myFA, sphere, 6.930e-06, 4.443e-12, 4.488e-12, 554.78
5, myPSO, rastrigin, 8.955e-01, 6.831e-01, 6.900e-01, 736.31
5, myDE, rastrigin, 1.098e-01, 9.725e-02, 9.823e-02, 415.78
5, myFA, rastrigin, 4.280e+00, 6.063e+00, 6.124e+00, 997.24
20, myPSO, sphere, 8.877e-06, 9.754e-13, 9.852e-13, 239.20
20, myDE, sphere, 5.492e-05, 8.686e-08, 8.774e-08, 336.95
20, myFA, sphere, 8.972e-06, 9.144e-13, 9.236e-13, 787.63
20, myPSO, rastrigin, 3.164e+01, 1.051e+02, 1.061e+02, 1000.00
20, myDE, rastrigin, 2.684e+01, 2.505e+02, 2.530e+02, 1000.00
20, myFA, rastrigin, 4.083e+01, 1.083e+02, 1.094e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.845e-06, 8.841e-12, 8.930e-12, 31.41
2, myDE, sphere, 4.278e-06, 8.393e-12, 8.477e-12, 23.00
2, myFA, sphere, 4.684e-06, 8.204e-12, 8.287e-12, 242.64
2, myPSO, rastrigin, 5.009e-06, 8.513e-12, 8.599e-12, 70.69
2, myDE, rastrigin, 4.356e-06, 7.305e-12, 7.379e-12, 56.59
2, myFA, rastrigin, 1.135e-01, 4.293e-02, 4.336e-02, 828.33
5, myPSO, sphere, 7.088e-06, 3.700e-12, 3.738e-12, 71.01
5, myDE, sphere, 6.632e-06, 5.568e-12, 5.624e-12, 68.61
5, myFA, sphere, 6.958e-06, 4.587e-12, 4.633e-12, 553.61
5, myPSO, rastrigin, 9.253e-01, 7.376e-01, 7.451e-01, 742.68
5, myDE, rastrigin, 6.965e-02, 6.444e-02, 6.510e-02, 386.47
5, myFA, rastrigin, 4.546e+00, 7.184e+00, 7.257e+00, 995.97
20, myPSO, sphere, 9.057e-06, 6.713e-13, 6.781e-13, 239.47
20, myDE, sphere, 6.906e-04, 1.338e-05, 1.351e-05, 401.31
20, myFA, sphere, 8.801e-06, 9.777e-13, 9.876e-13, 786.01
20, myPSO, rastrigin, 3.348e+01, 1.023e+02, 1.033e+02, 1000.00
20, myDE, rastrigin, 2.477e+01, 3.771e+02, 3.809e+02, 1000.00
20, myFA, rastrigin, 4.015e+01, 1.243e+02, 1.256e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.035e-06, 8.139e-12, 8.221e-12, 32.21
2, myDE, sphere, 4.642e-06, 8.903e-12, 8.993e-12, 22.96
2, myFA, sphere, 4.902e-06, 8.408e-12, 8.493e-12, 248.57
2, myPSO, rastrigin, 5.250e-06, 6.815e-12, 6.884e-12, 68.63
2, myDE, rastrigin, 4.519e-06, 8.261e-12, 8.344e-12, 56.88
2, myFA, rastrigin, 1.148e-01, 3.549e-02, 3.585e-02, 827.39
5, myPSO, sphere, 7.121e-06, 3.721e-12, 3.759e-12, 71.48
5, myDE, sphere, 6.952e-06, 4.141e-12, 4.183e-12, 67.77
5, myFA, sphere, 6.915e-06, 4.352e-12, 4.396e-12, 564.69
5, myPSO, rastrigin, 1.045e+00, 1.235e+00, 1.247e+00, 765.95
5, myDE, rastrigin, 1.593e-01, 1.728e-01, 1.745e-01, 431.21
5, myFA, rastrigin, 4.629e+00, 6.793e+00, 6.862e+00, 998.34
20, myPSO, sphere, 9.033e-06, 6.054e-13, 6.115e-13, 241.13
20, myDE, sphere, 9.148e-04, 3.671e-05, 3.708e-05, 360.28
20, myFA, sphere, 8.812e-06, 1.026e-12, 1.036e-12, 787.34
20, myPSO, rastrigin, 3.229e+01, 1.123e+02, 1.134e+02, 1000.00
20, myDE, rastrigin, 3.071e+01, 4.651e+02, 4.698e+02, 1000.00
20, myFA, rastrigin, 3.773e+01, 1.203e+02, 1.215e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.860e-06, 8.384e-12, 8.469e-12, 32.19
2, myDE, sphere, 4.457e-06, 7.426e-12, 7.501e-12, 21.69
2, myFA, sphere, 5.285e-06, 8.710e-12, 8.798e-12, 245.24
2, myPSO, rastrigin, 9.954e-03, 9.800e-03, 9.899e-03, 81.55
2, myDE, rastrigin, 4.870e-06, 8.427e-12, 8.512e-12, 56.61
2, myFA, rastrigin, 8.252e-02, 1.707e-02, 1.724e-02, 802.93
5, myPSO, sphere, 7.056e-06, 4.274e-12, 4.317e-12, 69.95
5, myDE, sphere, 6.463e-06, 5.492e-12, 5.548e-12, 68.31
5, myFA, sphere, 6.883e-06, 4.371e-12, 4.415e-12, 558.67
5, myPSO, rastrigin, 1.085e+00, 7.542e-01, 7.619e-01, 790.16
5, myDE, rastrigin, 1.713e-01, 1.394e-01, 1.408e-01, 454.00
5, myFA, rastrigin, 5.148e+00, 8.005e+00, 8.086e+00, 998.47
20, myPSO, sphere, 8.931e-06, 9.739e-13, 9.838e-13, 242.87
20, myDE, sphere, 8.221e-03, 4.357e-03, 4.401e-03, 413.58
20, myFA, sphere, 8.870e-06, 7.862e-13, 7.941e-13, 784.26
20, myPSO, rastrigin, 3.097e+01, 1.029e+02, 1.040e+02, 1000.00
20, myDE, rastrigin, 2.408e+01, 2.404e+02, 2.428e+02, 1000.00
20, myFA, rastrigin, 3.758e+01, 1.313e+02, 1.327e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.339e-06, 8.776e-12, 8.865e-12, 32.66
2, myDE, sphere, 5.082e-06, 7.268e-12, 7.342e-12, 21.19
2, myFA, sphere, 5.255e-06, 1.052e-11, 1.063e-11, 245.42
2, myPSO, rastrigin, 5.105e-06, 8.944e-12, 9.034e-12, 67.50
2, myDE, rastrigin, 4.935e-06, 8.836e-12, 8.925e-12, 58.62
2, myFA, rastrigin, 1.311e-01, 4.811e-02, 4.860e-02, 814.61
5, myPSO, sphere, 6.914e-06, 5.454e-12, 5.509e-12, 72.11
5, myDE, sphere, 6.831e-06, 3.955e-12, 3.995e-12, 68.63
5, myFA, sphere, 6.915e-06, 4.172e-12, 4.214e-12, 555.24
5, myPSO, rastrigin, 9.850e-01, 1.317e+00, 1.330e+00, 749.87
5, myDE, rastrigin, 1.525e-01, 1.263e-01, 1.276e-01, 451.54
5, myFA, rastrigin, 5.148e+00, 8.759e+00, 8.848e+00, 998.97
20, myPSO, sphere, 9.114e-06, 7.474e-13, 7.549e-13, 239.40
20, myDE, sphere, 1.288e-03, 6.204e-05, 6.267e-05, 413.06
20, myFA, sphere, 8.878e-06, 8.068e-13, 8.150e-13, 783.96
20, myPSO, rastrigin, 3.276e+01, 1.198e+02, 1.210e+02, 1000.00
20, myDE, rastrigin, 2.761e+01, 4.076e+02, 4.117e+02, 1000.00
20, myFA, rastrigin, 3.824e+01, 1.311e+02, 1.324e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.196e-06, 6.750e-12, 6.818e-12, 31.01
2, myDE, sphere, 4.690e-06, 8.461e-12, 8.546e-12, 22.16
2, myFA, sphere, 5.022e-06, 8.297e-12, 8.381e-12, 238.34
2, myPSO, rastrigin, 5.247e-06, 8.933e-12, 9.023e-12, 71.37
2, myDE, rastrigin, 4.594e-06, 7.819e-12, 7.898e-12, 57.75
2, myFA, rastrigin, 9.942e-02, 4.093e-02, 4.135e-02, 763.94
5, myPSO, sphere, 6.779e-06, 4.493e-12, 4.538e-12, 70.74
5, myDE, sphere, 7.162e-06, 3.949e-12, 3.989e-12, 67.00
5, myFA, sphere, 6.921e-06, 4.488e-12, 4.533e-12, 556.02
5, myPSO, rastrigin, 1.025e+00, 8.010e-01, 8.090e-01, 782.21
5, myDE, rastrigin, 7.009e-02, 6.440e-02, 6.505e-02, 392.52
5, myFA, rastrigin, 4.510e+00, 5.957e+00, 6.017e+00, 1000.00
20, myPSO, sphere, 9.057e-06, 6.831e-13, 6.900e-13, 237.65
20, myDE, sphere, 1.330e-04, 1.320e-06, 1.334e-06, 365.53
20, myFA, sphere, 8.836e-06, 1.125e-12, 1.137e-12, 784.90
20, myPSO, rastrigin, 3.215e+01, 8.598e+01, 8.685e+01, 1000.00
20, myDE, rastrigin, 2.747e+01, 2.957e+02, 2.987e+02, 1000.00
20, myFA, rastrigin, 3.977e+01, 1.285e+02, 1.298e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.802e-06, 8.204e-12, 8.287e-12, 32.76
2, myDE, sphere, 4.370e-06, 8.778e-12, 8.867e-12, 22.05
2, myFA, sphere, 4.412e-06, 8.388e-12, 8.472e-12, 232.15
2, myPSO, rastrigin, 4.639e-06, 9.707e-12, 9.805e-12, 70.53
2, myDE, rastrigin, 4.981e-06, 8.530e-12, 8.616e-12, 56.96
2, myFA, rastrigin, 1.532e-01, 7.745e-02, 7.823e-02, 841.12
5, myPSO, sphere, 7.693e-06, 3.846e-12, 3.885e-12, 70.25
5, myDE, sphere, 6.644e-06, 5.266e-12, 5.320e-12, 67.34
5, myFA, sphere, 7.405e-06, 3.888e-12, 3.927e-12, 560.11
5, myPSO, rastrigin, 9.552e-01, 1.266e+00, 1.278e+00, 716.58
5, myDE, rastrigin, 1.123e-01, 1.588e-01, 1.604e-01, 411.82
5, myFA, rastrigin, 5.354e+00, 8.084e+00, 8.165e+00, 1000.00
20, myPSO, sphere, 9.091e-06, 7.303e-13, 7.377e-13, 240.67
20, myDE, sphere, 2.563e-05, 5.173e-09, 5.225e-09, 377.97
20, myFA, sphere, 8.949e-06, 7.106e-13, 7.178e-13, 782.75
20, myPSO, rastrigin, 3.029e+01, 1.031e+02, 1.041e+02, 1000.00
20, myDE, rastrigin, 2.654e+01, 3.120e+02, 3.151e+02, 1000.00
20, myFA, rastrigin, 3.992e+01, 1.381e+02, 1.395e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.841e-06, 8.586e-12, 8.673e-12, 31.09
2, myDE, sphere, 4.175e-06, 7.646e-12, 7.724e-12, 22.26
2, myFA, sphere, 4.945e-06, 8.472e-12, 8.558e-12, 241.05
2, myPSO, rastrigin, 9.955e-03, 9.800e-03, 9.899e-03, 77.72
2, myDE, rastrigin, 4.479e-06, 8.272e-12, 8.356e-12, 57.65
2, myFA, rastrigin, 1.557e-01, 8.097e-02, 8.179e-02, 817.79
5, myPSO, sphere, 7.232e-06, 3.773e-12, 3.811e-12, 69.62
5, myDE, sphere, 6.900e-06, 4.260e-12, 4.303e-12, 67.96
5, myFA, sphere, 7.064e-06, 4.425e-12, 4.469e-12, 557.76
5, myPSO, rastrigin, 1.154e+00, 1.479e+00, 1.494e+00, 756.27
5, myDE, rastrigin, 1.000e-01, 9.007e-02, 9.098e-02, 420.05
5, myFA, rastrigin, 5.232e+00, 8.738e+00, 8.826e+00, 1000.00
20, myPSO, sphere, 9.062e-06, 4.598e-13, 4.645e-13, 239.43
20, myDE, sphere, 9.825e-04, 7.183e-05, 7.256e-05, 374.51
20, myFA, sphere, 8.960e-06, 8.927e-13, 9.018e-13, 781.86
20, myPSO, rastrigin, 3.251e+01, 1.231e+02, 1.243e+02, 1000.00
20, myDE, rastrigin, 2.811e+01, 3.201e+02, 3.233e+02, 1000.00
20, myFA, rastrigin, 4.095e+01, 1.788e+02, 1.806e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.080e-06, 8.717e-12, 8.805e-12, 32.24
2, myDE, sphere, 4.722e-06, 8.848e-12, 8.938e-12, 21.82
2, myFA, sphere, 5.509e-06, 8.827e-12, 8.917e-12, 234.59
2, myPSO, rastrigin, 5.168e-06, 8.307e-12, 8.391e-12, 65.80
2, myDE, rastrigin, 4.147e-06, 8.169e-12, 8.251e-12, 57.31
2, myFA, rastrigin, 1.353e-01, 7.451e-02, 7.526e-02, 774.27
5, myPSO, sphere, 7.024e-06, 4.824e-12, 4.873e-12, 71.44
5, myDE, sphere, 6.760e-06, 4.056e-12, 4.097e-12, 68.36
5, myFA, sphere, 6.943e-06, 3.716e-12, 3.754e-12, 557.40
5, myPSO, rastrigin, 1.075e+00, 7.856e-01, 7.935e-01, 798.88
5, myDE, rastrigin, 1.194e-01, 1.243e-01, 1.256e-01, 418.84
5, myFA, rastrigin, 4.950e+00, 7.862e+00, 7.941e+00, 998.71
20, myPSO, sphere, 9.032e-06, 8.429e-13, 8.514e-13, 240.27
20, myDE, sphere, 1.059e-04, 4.429e-07, 4.474e-07, 375.81
20, myFA, sphere, 8.984e-06, 6.554e-13, 6.621e-13, 783.22
20, myPSO, rastrigin, 3.050e+01, 1.095e+02, 1.106e+02, 1000.00
20, myDE, rastrigin, 3.036e+01, 3.779e+02, 3.817e+02, 1000.00
20, myFA, rastrigin, 3.854e+01, 1.466e+02, 1.481e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.880e-06, 1.002e-11, 1.012e-11, 31.45
2, myDE, sphere, 4.438e-06, 8.233e-12, 8.316e-12, 22.08
2, myFA, sphere, 4.908e-06, 6.660e-12, 6.727e-12, 234.02
2, myPSO, rastrigin, 4.369e-06, 6.840e-12, 6.909e-12, 70.75
2, myDE, rastrigin, 4.828e-06, 9.202e-12, 9.295e-12, 57.86
2, myFA, rastrigin, 1.034e-01, 4.430e-02, 4.475e-02, 785.78
5, myPSO, sphere, 6.843e-06, 5.403e-12, 5.458e-12, 68.90
5, myDE, sphere, 6.899e-06, 4.858e-12, 4.908e-12, 67.20
5, myFA, sphere, 7.448e-06, 4.530e-12, 4.576e-12, 557.05
5, myPSO, rastrigin, 8.756e-01, 7.777e-01, 7.855e-01, 733.18
5, myDE, rastrigin, 1.294e-01, 1.120e-01, 1.131e-01, 425.67
5, myFA, rastrigin, 5.115e+00, 8.158e+00, 8.240e+00, 1000.00
20, myPSO, sphere, 9.120e-06, 5.550e-13, 5.606e-13, 239.68
20, myDE, sphere, 5.823e-05, 7.655e-08, 7.732e-08, 362.78
20, myFA, sphere, 8.802e-06, 8.382e-13, 8.466e-13, 786.51
20, myPSO, rastrigin, 3.317e+01, 1.001e+02, 1.011e+02, 1000.00
20, myDE, rastrigin, 2.771e+01, 3.108e+02, 3.139e+02, 1000.00
20, myFA, rastrigin, 3.784e+01, 1.447e+02, 1.462e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.145e-06, 8.266e-12, 8.350e-12, 31.38
2, myDE, sphere, 3.984e-06, 8.148e-12, 8.230e-12, 22.70
2, myFA, sphere, 5.116e-06, 7.016e-12, 7.087e-12, 242.58
2, myPSO, rastrigin, 5.150e-06, 7.593e-12, 7.669e-12, 67.05
2, myDE, rastrigin, 5.068e-06, 9.388e-12, 9.483e-12, 56.40
2, myFA, rastrigin, 1.084e-01, 3.862e-02, 3.901e-02, 770.93
5, myPSO, sphere, 6.828e-06, 5.181e-12, 5.234e-12, 70.01
5, myDE, sphere, 6.999e-06, 4.869e-12, 4.919e-12, 67.38
5, myFA, sphere, 7.114e-06, 4.496e-12, 4.541e-12, 554.78
5, myPSO, rastrigin, 1.065e+00, 1.054e+00, 1.065e+00, 778.07
5, myDE, rastrigin, 6.965e-02, 1.238e-01, 1.251e-01, 373.42
5, myFA, rastrigin, 4.327e+00, 5.363e+00, 5.417e+00, 1000.00
20, myPSO, sphere, 9.088e-06, 6.699e-13, 6.767e-13, 242.45
20, myDE, sphere, 1.420e-04, 1.274e-06, 1.287e-06, 387.29
20, myFA, sphere, 8.979e-06, 9.423e-13, 9.518e-13, 784.72
20, myPSO, rastrigin, 3.075e+01, 1.168e+02, 1.180e+02, 1000.00
20, myDE, rastrigin, 3.291e+01, 5.427e+02, 5.481e+02, 1000.00
20, myFA, rastrigin, 3.879e+01, 1.444e+02, 1.458e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.189e-06, 6.566e-12, 6.633e-12, 30.51
2, myDE, sphere, 4.384e-06, 7.542e-12, 7.619e-12, 22.63
2, myFA, sphere, 4.693e-06, 7.055e-12, 7.126e-12, 237.04
2, myPSO, rastrigin, 4.892e-06, 8.106e-12, 8.188e-12, 68.70
2, myDE, rastrigin, 4.629e-06, 7.422e-12, 7.497e-12, 57.51
2, myFA, rastrigin, 7.892e-02, 2.620e-02, 2.647e-02, 760.07
5, myPSO, sphere, 6.508e-06, 4.799e-12, 4.847e-12, 70.24
5, myDE, sphere, 7.049e-06, 4.343e-12, 4.387e-12, 67.99
5, myFA, sphere, 6.721e-06, 5.096e-12, 5.147e-12, 554.76
5, myPSO, rastrigin, 1.164e+00, 1.209e+00, 1.221e+00, 827.43
5, myDE, rastrigin, 9.196e-02, 1.010e-01, 1.020e-01, 401.10
5, myFA, rastrigin, 4.486e+00, 7.096e+00, 7.168e+00, 998.66
20, myPSO, sphere, 8.945e-06, 8.668e-13, 8.756e-13, 240.24
20, myDE, sphere, 8.494e-04, 5.842e-05, 5.901e-05, 375.36
20, myFA, sphere, 9.002e-06, 9.288e-13, 9.381e-13, 785.69
20, myPSO, rastrigin, 3.247e+01, 1.321e+02, 1.334e+02, 1000.00
20, myDE, rastrigin, 2.814e+01, 3.371e+02, 3.405e+02, 1000.00
20, myFA, rastrigin, 3.683e+01, 1.352e+02, 1.366e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.190e-06, 9.283e-12, 9.377e-12, 31.56
2, myDE, sphere, 3.928e-06, 7.425e-12, 7.500e-12, 21.84
2, myFA, sphere, 4.919e-06, 6.993e-12, 7.064e-12, 243.89
2, myPSO, rastrigin, 4.780e-06, 6.963e-12, 7.034e-12, 67.89
2, myDE, rastrigin, 4.455e-06, 9.658e-12, 9.755e-12, 57.80
2, myFA, rastrigin, 1.007e-01, 3.027e-02, 3.057e-02, 773.07
5, myPSO, sphere, 7.011e-06, 3.919e-12, 3.959e-12, 70.86
5, myDE, sphere, 6.473e-06, 5.652e-12, 5.709e-12, 67.35
5, myFA, sphere, 6.630e-06, 5.758e-12, 5.816e-12, 558.44
5, myPSO, rastrigin, 7.661e-01, 5.515e-01, 5.571e-01, 748.31
5, myDE, rastrigin, 8.955e-02, 8.108e-02, 8.189e-02, 398.57
5, myFA, rastrigin, 5.078e+00, 7.525e+00, 7.601e+00, 1000.00
20, myPSO, sphere, 8.979e-06, 6.264e-13, 6.327e-13, 244.03
20, myDE, sphere, 1.152e-03, 6.921e-05, 6.991e-05, 395.15
20, myFA, sphere, 8.963e-06, 6.586e-13, 6.653e-13, 785.99
20, myPSO, rastrigin, 3.389e+01, 1.089e+02, 1.100e+02, 1000.00
20, myDE, rastrigin, 2.541e+01, 2.869e+02, 2.898e+02, 1000.00
20, myFA, rastrigin, 4.005e+01, 1.134e+02, 1.145e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.787e-06, 7.248e-12, 7.321e-12, 30.99
2, myDE, sphere, 5.143e-06, 8.542e-12, 8.629e-12, 22.12
2, myFA, sphere, 5.039e-06, 8.635e-12, 8.722e-12, 232.74
2, myPSO, rastrigin, 4.659e-06, 7.549e-12, 7.625e-12, 70.26
2, myDE, rastrigin, 4.429e-06, 7.541e-12, 7.617e-12, 57.44
2, myFA, rastrigin, 1.679e-01, 7.120e-02, 7.192e-02, 836.95
5, myPSO, sphere, 6.855e-06, 4.983e-12, 5.033e-12, 70.77
