D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.999e-06, 8.937e-12, 9.027e-12, 31.02
2, myDE, sphere, 4.188e-06, 7.540e-12, 7.616e-12, 22.77
2, myFA, sphere, 5.387e-06, 9.188e-12, 9.281e-12, 247.72
2, myPSO, rastrigin, 4.638e-06, 9.365e-12, 9.459e-12, 69.62
2, myDE, rastrigin, 4.433e-06, 7.449e-12, 7.524e-12, 57.67
2, myFA, rastrigin, 1.267e-01, 5.835e-02, 5.894e-02, 813.60
5, myPSO, sphere, 6.839e-06, 4.009e-12, 4.050e-12, 69.67
5, myDE, sphere, 6.794e-06, 5.154e-12, 5.206e-12, 67.44
5, myFA, sphere, 7.527e-06, 3.243e-12, 3.276e-12, 558.28
5, myPSO, rastrigin, 8.557e-01, 6.538e-01, 6.604e-01, 712.03
5, myDE, rastrigin, 8.955e-02, 1.009e-01, 1.019e-01, 393.31
5, myFA, rastrigin, 4.671e+00, 8.867e+00, 8.957e+00, 1000.00
20, myPSO, sphere, 9.062e-06, 6.407e-13, 6.471e-13, 239.84
20, myDE, sphere, 7.009e-04, 3.102e-05, 3.134e-05, 361.29
20, myFA, sphere, 8.997e-06, 8.724e-13, 8.812e-13, 785.87
20, myPSO, rastrigin, 3.326e+01, 1.091e+02, 1.102e+02, 1000.00
20, myDE, rastrigin, 2.867e+01, 4.143e+02, 4.185e+02, 1000.00
20, myFA, rastrigin, 3.726e+01, 1.166e+02, 1.178e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.035e-06, 7.751e-12, 7.830e-12, 31.16
2, myDE, sphere, 4.954e-06, 8.371e-12, 8.456e-12, 22.03
2, myFA, sphere, 5.043e-06, 8.978e-12, 9.068e-12, 245.79
2, myPSO, rastrigin, 5.262e-06, 8.949e-12, 9.039e-12, 67.68
2, myDE, rastrigin, 4.661e-06, 7.989e-12, 8.070e-12, 57.32
2, myFA, rastrigin, 1.347e-01, 8.267e-02, 8.350e-02, 764.29
5, myPSO, sphere, 6.704e-06, 4.786e-12, 4.834e-12, 70.12
5, myDE, sphere, 7.006e-06, 5.002e-12, 5.052e-12, 67.31
5, myFA, sphere, 7.012e-06, 4.491e-12, 4.536e-12, 556.50
5, myPSO, rastrigin, 8.358e-01, 5.686e-01, 5.744e-01, 726.85
5, myDE, rastrigin, 1.010e-01, 1.087e-01, 1.098e-01, 412.31
5, myFA, rastrigin, 4.635e+00, 8.414e+00, 8.499e+00, 998.50
20, myPSO, sphere, 9.106e-06, 7.114e-13, 7.186e-13, 241.91
20, myDE, sphere, 3.833e-04, 3.977e-06, 4.017e-06, 404.46
20, myFA, sphere, 8.763e-06, 1.061e-12, 1.072e-12, 785.43
20, myPSO, rastrigin, 2.960e+01, 8.851e+01, 8.940e+01, 1000.00
20, myDE, rastrigin, 2.855e+01, 3.357e+02, 3.391e+02, 1000.00
20, myFA, rastrigin, 3.861e+01, 1.635e+02, 1.651e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.668e-06, 8.991e-12, 9.082e-12, 32.16
2, myDE, sphere, 4.342e-06, 7.151e-12, 7.223e-12, 21.76
2, myFA, sphere, 4.878e-06, 7.884e-12, 7.964e-12, 242.27
2, myPSO, rastrigin, 4.672e-06, 7.724e-12, 7.802e-12, 68.21
2, myDE, rastrigin, 4.447e-06, 8.667e-12, 8.755e-12, 58.63
2, myFA, rastrigin, 1.362e-01, 7.034e-02, 7.105e-02, 802.35
5, myPSO, sphere, 7.012e-06, 4.810e-12, 4.859e-12, 70.59
5, myDE, sphere, 6.817e-06, 5.254e-12, 5.307e-12, 67.82
5, myFA, sphere, 7.011e-06, 4.304e-12, 4.348e-12, 554.16
5, myPSO, rastrigin, 8.258e-01, 8.326e-01, 8.410e-01, 697.67
5, myDE, rastrigin, 1.107e-01, 9.675e-02, 9.773e-02, 429.90
5, myFA, rastrigin, 4.386e+00, 6.045e+00, 6.106e+00, 1000.00
20, myPSO, sphere, 8.912e-06, 8.578e-13, 8.665e-13, 237.39
20, myDE, sphere, 7.620e-05, 1.020e-07, 1.031e-07, 364.42
20, myFA, sphere, 8.991e-06, 7.230e-13, 7.303e-13, 785.79
20, myPSO, rastrigin, 3.342e+01, 1.091e+02, 1.102e+02, 1000.00
20, myDE, rastrigin, 2.640e+01, 4.232e+02, 4.275e+02, 1000.00
20, myFA, rastrigin, 3.879e+01, 1.487e+02, 1.502e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 5.425e-06, 8.105e-12, 8.187e-12, 31.44
2, myDE, sphere, 4.861e-06, 8.656e-12, 8.744e-12, 22.06
2, myFA, sphere, 5.148e-06, 8.025e-12, 8.106e-12, 237.51
2, myPSO, rastrigin, 9.955e-03, 9.800e-03, 9.899e-03, 79.85
2, myDE, rastrigin, 4.437e-06, 8.990e-12, 9.081e-12, 57.83
2, myFA, rastrigin, 1.344e-01, 5.504e-02, 5.560e-02, 798.46
5, myPSO, sphere, 7.148e-06, 4.581e-12, 4.627e-12, 70.36
5, myDE, sphere, 6.446e-06, 5.323e-12, 5.377e-12, 68.08
5, myFA, sphere, 7.040e-06, 4.742e-12, 4.789e-12, 559.26
5, myPSO, rastrigin, 9.850e-01, 9.403e-01, 9.498e-01, 746.59
5, myDE, rastrigin, 8.957e-02, 8.107e-02, 8.189e-02, 408.71
5, myFA, rastrigin, 4.783e+00, 5.457e+00, 5.512e+00, 1000.00
20, myPSO, sphere, 9.027e-06, 7.699e-13, 7.777e-13, 239.72
20, myDE, sphere, 2.078e-05, 5.211e-09, 5.263e-09, 357.59
20, myFA, sphere, 8.769e-06, 9.862e-13, 9.962e-13, 786.32
20, myPSO, rastrigin, 3.208e+01, 9.375e+01, 9.470e+01, 1000.00
20, myDE, rastrigin, 2.997e+01, 4.459e+02, 4.504e+02, 1000.00
20, myFA, rastrigin, 3.956e+01, 1.293e+02, 1.306e+02, 1000.00
D, method, function, f-value mean, f-value var, f-value std-var, loop time mean
2, myPSO, sphere, 4.720e-06, 9.705e-12, 9.803e-12, 33.00
2, myDE, sphere, 4.479e-06, 7.245e-12, 7.318e-12, 22.48
2, myFA, sphere, 4.929e-06, 8.995e-12, 9.086e-12, 240.31
2, myPSO, rastrigin, 5.047e-06, 7.127e-12, 7.199e-12, 69.79
2, myDE, rastrigin, 4.903e-06, 8.931e-12, 9.021e-12, 58.38
